date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:40	420/420	---M--	200	added ('OK')	image/png	etag:%226448c874-1a4%22	https://dropways.github.io/deskapp/vendors/images/cross.png	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/images/cross.png	(from https://dropways.github.io/deskapp/vendors/styles/style.css)
01:24:41	231/231	---M--	200	added ('OK')	image/png	etag:%226448c874-e7%22	https://dropways.github.io/deskapp/vendors/images/check-mark.png	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/images/check-mark.png	(from https://dropways.github.io/deskapp/vendors/styles/style.css)
01:24:43	156/156	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:54:42%20GMT	https://vajira-api.vercel.app/img/yasiyaytt.jpg	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/img/yasiyaytt.36.delayed	(from https://vajira-api.vercel.app/changelog)
01:24:43	750302/750302	---MCZ	200	added ('OK')	text/css	etag:W/%225912ad50f6909587f56545830ae1c6db%22	https://pro.fontawesome.com/releases/v6.0.0-beta1/css/all.css	/storage/emulated/0/HTTrack/Websites/Vajira/pro.fontawesome.com/releases/v6.0.0-beta1/css/all.css	(from https://vajira-api.vercel.app/)
01:24:46	1269/1269	---MCZ	200	added ('OK')	application/json	etag:W/%224f5-UTEsoVlN9LnA5RKwv6VvDzQIfHc%22	https://vajira-api.vercel.app/movie/sinhalasub/search?text=deadpool	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/sinhalasub/search50e9.json	(from https://vajira-api.vercel.app/movie)
01:24:47	5648/5648	---MCZ	200	added ('OK')	application/json	etag:W/%221610-1gK5LauDc0UkPwR0JJXpySz8aWw%22	https://vajira-api.vercel.app/movie/sinhalasub/movie?url=https://sinhalasub.lk/movies/deadpool-wolverine-2024-sinhala-subtitles/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/sinhalasub/moviec451.json	(from https://vajira-api.vercel.app/movie)
01:24:49	14484/14484	---MCZ	200	added ('OK')	application/json	etag:W/%223894-y/bx+WhBkmu9KQEbRMqxjM/7vJQ%22	https://vajira-api.vercel.app/movie/sinhalasub/tvshow?url=https://sinhalasub.lk/tvshows/game-of-thrones-2011-sinhala-subtitles/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/sinhalasub/tvshowaf9b.json	(from https://vajira-api.vercel.app/movie)
01:24:50	1408/1408	---MCZ	200	added ('OK')	application/json	etag:W/%22580-YEMhTNVf5jB63EfhLwKT/K3MuW4%22	https://vajira-api.vercel.app/movie/sinhalasub/episode?url=https://sinhalasub.lk/episodes/game-of-thrones-1x1/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/sinhalasub/episode7636.json	(from https://vajira-api.vercel.app/movie)
01:24:54	9902/9902	---MCZ	200	added ('OK')	application/json	etag:W/%2226ae-/IUaEETCTCyXnJAPy28oYNZymEM%22	https://vajira-api.vercel.app/movie/pirate/search?text=2024	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/pirate/search9b7e.json	(from https://vajira-api.vercel.app/movie)
01:25:17	8134/8134	---MCZ	200	added ('OK')	application/json	etag:W/%221fc6-sSarAVYuiH4IPljaf4ORwlDLsPs%22	https://vajira-api.vercel.app/movie/pirate/movie?url=https://pirate.lk/movies/sector-36-2024-sinhala-sub/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/pirate/movie50ae.json	(from https://vajira-api.vercel.app/movie)
